,0,1,2,3
718,HBB,Ngân hàng Thương mại Cổ phần Nhà Hà Nội,5.2,HNX
719,HBC,Công ty cổ phần Tập đoàn Xây dựng Hoà Bình,14.8,HSX
720,HBD,Công ty Cổ phần Bao bì PP Bình Dương,20.5,Upcom
721,HBE,Công ty Cổ phần Sách - Thiết bị trường học Hà Tĩnh,7.5,HNX
722,HBH,Công ty Cổ phần Habeco - Hải Phòng,3.6,Upcom
723,HBI,Công ty Cổ phần HBI,26,Upcom
724,HBS,Công ty Cổ phần Chứng khoán Hòa Bình,3.4,HNX
725,HBSC,Công ty Cổ phần Chứng khoán Hưng Thịnh,,OTC
726,HBW,Công ty cổ phần Nước sạch Hòa Bình,31.8,Upcom
727,HC3,Công ty Cổ phần Xây dựng Số 3 Hải Phòng,26.2,Upcom
728,HCB,Công ty cổ phần Dệt may 29/3,,OTC
729,HCC,Công ty Cổ phần Bê tông Hoà Cầm - Intimex,15.7,HNX
730,HCD,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,3.81,HSX
731,HCFVN,Công ty TNHH MTV Tài chính Home Credit Việt Nam,,OTC
732,HCI,Công ty Cổ phần Đầu tư - Xây dựng Hà Nội,8,Upcom
733,HCM,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,23.65,HSX
734,HCS,Công ty Cổ phần Thông tin Tín hiệu Đường sắt Hà Nội,30.2,Upcom
735,HCT,Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,26.8,HNX
736,HD2,CTCP Đầu tư Phát triển nhà HUD2,8.1,Upcom
737,HD3,CTCP Đầu tư Phát triển Nhà và Đô thị MHDI3,10,Upcom
738,HD8,CTCP Đầu tư Phát triển Nhà và Đô thị HUD8,7.3,Upcom
739,HDA,Công ty Cổ phần Hãng sơn Đông Á,12,HNX
740,HDB,Ngân hàng TMCP Phát triển T.P Hồ Chí Minh,26.35,HSX
741,HDC,Công ty Cổ phần Phát triển nhà Bà Rịa-Vũng Tàu,15.6,HSX
742,HDG,Công ty Cổ phần Tập đoàn Hà Đô,36.2,HSX
743,HDM,Công ty Cổ phần Dệt May Huế,23.2,Upcom
744,HDO,Công ty Cổ phần Hưng Đạo Container,0.6,Upcom
745,HDP,Công ty Cổ phần Dược Hà Tĩnh,8.5,Upcom
746,HDW,Công ty cổ phần Kinh doanh nước sạch Hải Dương,10.6,Upcom
747,HEC,Công ty Cổ phần Tư vấn Xây dựng Thủy lợi II,30,Upcom
748,HEJ,Tổng Công ty Tư vấn xây dựng Thủy lợi Việt Nam - Công ty Cổ phần,16.6,Upcom
749,HEM,Công ty cổ phần Chế tạo Điện Cơ Hà Nội,13.7,Upcom
750,HEP,Công ty Cổ phần Môi trường và Công trình Đô thị Huế,8.3,Upcom
751,HES,Công ty Cổ phần Dịch vụ Giải trí Hà Nội,6.8,Upcom
752,HEV,Công ty Cổ phần Sách Đại học - Dạy nghề,13.2,HNX
753,HFB,Công ty Cổ phần Công trình Cầu phà Thành phố Hồ Chí Minh,16.4,Upcom
754,HFC,Công ty Cổ phần Xăng dầu HFC,36.8,Upcom
755,HFIC,Công ty Đầu tư Tài chính Nhà nước T.P Hồ Chí Minh,,OTC
756,HFS,Công ty Cổ phần Thương mại dịch vụ Thời trang Hà Nội,11.2,Upcom
757,HFT,Công ty Cổ phần Chứng khoán HFT,14,Upcom
758,HFX,Công ty cổ phần Sản xuất - Xuất nhập khẩu Thanh Hà,1.4,Upcom
759,HGM,Công ty cổ phần Cơ khí và Khoáng sản Hà Giang,39.3,HNX
760,HGW,Công ty Cổ phần Cấp thoát nước - Công trình đô thị Hậu Giang,9.4,Upcom
761,HHA,Công ty cổ phần Văn phòng phẩm Hồng Hà,93.1,Upcom
762,HHC,Công ty Cổ phần Bánh kẹo Hải Hà,117.5,HNX
763,HHG,Công ty Cổ phần Hoàng Hà,1.5,HNX
764,HHL,Công ty Cổ phần Hồng Hà Long An,0.9,HNX
765,HHN,Công ty Cổ Phần Vận tải và Dịch vụ Hàng hóa Hà Nội,6.8,Upcom
766,HHP,Công ty cổ phần Giấy Hoàng Hà Hải Phòng,12.9,HNX
767,HHR,Công ty Cổ phần Đường sắt Hà Hải,4.5,Upcom
768,HHS,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,3.48,HSX
769,HHV,CTCP Quản lý và Khai thác Hầm Đường Bộ Hải Vân,10.7,Upcom
770,HICC1,CTCP Đầu tư và Xây dựng số 1 Hà Nội,,OTC
771,HID,Công ty Cổ phần Halcom Việt Nam,2.2,HSX
772,HIG,Công ty Cổ phần Tập đoàn HIPT,7.3,Upcom
773,HIGHLANDS,CTCP Dịch vụ Cà phê Cao nguyên,,OTC
774,HII,Công ty Cổ phần An Tiến Industries,11.85,HSX
775,HIMLAM,CTCP Him Lam,,OTC
776,HINOVN,Công ty Liên doanh TNHH Hino Motors Việt Nam,,OTC
777,HIS,Công ty cổ phần Đầu tư phát triển thương mại tổng hợp Sơn Hà,,OTC
778,HIZ,Công ty cổ phần Khu công nghiệp Hố Nai,19,Upcom
779,HJC,Công ty Cổ phần Hòa Việt,3.4,Upcom
780,HJS,Công ty Cổ phần Thủy điện Nậm Mu,22.7,HNX
781,HKB,Công ty Cổ phần Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,0.8,HNX
782,HKP,CTCP Bao bì Hà Tiên,7.9,Upcom
783,HKT,Công ty Cổ phần Chè Hiệp Khánh,3.4,HNX
784,HLA,Công ty Cổ phần Hữu Liên Á Châu,0.3,Upcom
785,HLB,Công ty Cổ phần Bia và Nước giải khát Hạ Long,90,Upcom
786,HLC,CTCP Than Hà Lầm - Vinacomin,7.8,HNX
787,HLCC,CTCP Xi măng Hạ Long,,OTC
788,HLD,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,14.7,HNX
789,HLE,Công ty Cổ phần Điện chiếu sáng Hải Phòng,4.3,Upcom
790,HLG,Công ty Cổ phần Tập đoàn Hoàng Long,7.76,HSX
791,HLR,Công ty Cổ phần Đường sắt Hà Lạng,9.6,Upcom
792,HLS,Công ty Cổ phần Sứ kỹ thuật Hoàng Liên Sơn,26.5,Upcom
793,HLY,Công ty Cổ phần Viglacera Hạ Long I,39,HNX
794,HMC,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - Vnsteel,15.6,HSX
795,HMG,CTCP Kim khí Hà Nội - VNSTEEL,10.3,Upcom
796,HMH,Công ty Cổ phần Hải Minh,10.1,HNX
797,HMS,Công ty Cổ phần Xây dựng bảo tàng Hồ Chí Minh,21.9,Upcom
798,HNA,Công ty Cổ phần Thủy điện Hủa Na,12.5,Upcom
799,HNB,CTCP Bến xe Hà Nội,15.4,Upcom
800,HND,CTCP Nhiệt điện Hải Phòng,14.8,Upcom
801,HNF,CTCP Thực phẩm Hữu Nghị,62,Upcom
802,HNG,Công ty cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,18.05,HSX
803,HNI,Công ty Cổ phần May Hữu Nghị,37,Upcom
804,HNM,Công ty Cổ phần Sữa Hà Nội,4.6,HNX
805,HNP,Công ty Cổ phần Hanel Xốp nhựa,13.3,Upcom
806,HNR,Công ty Cổ phần Cồn rượu Hà Nội,12,Upcom
807,HNT,Công ty Cổ phần Xe điện Hà Nội,4.1,Upcom
808,HOANCAU,Công ty TNHH Hoàn Cầu,,OTC
809,HOANGTHACH,Công ty TNHH MTV Xi măng Vicem Hoàng Thạch,,OTC
810,HOANGTHANH,CTCP Đầu tư và Phát triển Hạ tầng Hoàng Thành,,OTC
811,HOANMY,CTCP Y khoa Hoàn Mỹ,,OTC
812,HOM,Công ty cổ phần Xi măng VICEM Hoàng Mai,3.4,HNX
813,HONDA,Công ty Honda Việt Nam,,OTC
814,HOT,Công ty cổ phần Du lịch - Dịch vụ Hội An,33,HSX
815,HPB,Công ty Cổ phần Bao bì PP,12.1,Upcom
816,HPC,Công ty Cổ phần Chứng khoán Hải Phòng,2.8,HNX
817,HPCO,CTCP Hóa Chất Hưng Phát Hà Bắc,,OTC
818,HPD,Công ty Công ty Cổ phần Thủy điện Đăk Đoa,18,Upcom
819,HPG,Công ty cổ phần Tập đoàn Hòa Phát,21.5,HSX
820,HPH,Công ty Cổ phần Hóa chất Hưng Phát Hà Bắc,7.6,Upcom
821,HPI,Công ty Cổ phần Khu công nghiệp Hiệp Phước,14.9,Upcom
822,HPL,Công ty Cổ phần Bến xe Tàu phà Cần Thơ,6.6,Upcom
823,HPM,CTCP Xây dựng Thương mại và Khoáng sản Hoàng Phúc,11.9,HNX
824,HPP,Công ty Cổ phần Sơn Hải Phòng,33,Upcom
825,HPR,Công ty Cổ phần Đầu tư Xây dựng Hồng Phát,10.8,HNX
826,HPS,Công ty Cổ phần Đá Xây dựng Hoà Phát,7,HNX
827,HPT,Công ty Cổ phần Dịch vụ Công nghệ Tin học HPT,8.1,Upcom
828,HPU,Công ty cổ phần 28 Hưng Phú,5.3,Upcom
829,HPW,Công ty Cổ phần Cấp nước Hải Phòng,12.1,Upcom
830,HPX,Công ty cổ phần Đầu tư Hải Phát,26.45,HSX
831,HQC,Công ty cổ phần Tư vấn-Thương mại-Dịch vụ Địa ốc Hoàng Quân,1.38,HSX
832,HQMK,Công ty cổ phần Tư vấn Thương mại Dịch vụ Địa ốc Hoàng Quân Mê Kông,,OTC
833,HRB,Công ty Cổ phần Harec Đầu tư và Thương mại,44,Upcom
834,HRC,Công ty Cổ phần Cao su Hòa Bình,38.9,HSX
835,HRG,Công ty cổ phần Cao su Hà Nội,6.6,Upcom
836,HRS,Công ty Cổ phần Chứng khoán TẦM NHÌN,,OTC
837,HRT,Công ty cổ phần Vận tải Đường sắt Hà Nội,4.1,Upcom
838,HSA,Công ty Cổ phần HESTIA,32.5,Upcom
839,HSC,Công ty Cổ phần Hacinco,179.4,HNX
840,HSG,Công ty Cổ phần Tập đoàn Hoa Sen,7.68,HSX
841,HSI,Công ty Cổ phần Vật tư tổng hợp và Phân bón Hóa sinh,1.6,Upcom
842,HSL,Công ty Cổ phần Chế biến Nông sản Hồng Hà Sơn La,7.85,HSX
843,HSM,Tổng Công ty cổ phần Dệt may Hà Nội,10.5,Upcom
844,HSSC,Công ty Cổ phần Chứng khoán Hà Nội,,OTC
845,HST,Công ty cổ phần Phát hành Sách và Thiết bị Trường học Hưng Yên,6.2,HNX
846,HT1,Công ty Cổ phần Xi Măng Vicem Hà Tiên,15.8,HSX
847,HT2,Công ty Cổ phần Xi măng Hà Tiên 2,14.5,HSX
848,HTB,Công ty Cổ phần Xây dựng Huy Thắng,,HNX
849,HTC,Công ty Cổ phần Thương mại Hóc Môn,29,HNX
850,HTE,Công ty Cổ phần Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,5.8,Upcom
851,HTG,Tổng Công ty cổ phần Dệt may Hòa Thọ,20.4,Upcom
852,HTI,Công ty Cổ phần Đầu tư phát triển hạ tầng IDICO,10.95,HSX
853,HTK,Trung tâm Đăng kiểm xe cơ giới Hải Dương,10.5,Upcom
854,HTL,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,16.95,HSX
855,HTM,Tổng Công ty Thương mại Hà Nội - CTCP,11.2,Upcom
856,HTN,Công ty Cổ phần Hưng Thịnh Incons,20.4,HSX
857,HTP,Công ty Cổ phần HTInvest,6.5,HNX
858,HTR,Công ty Cổ phần Đường sắt Hà Thái,10,Upcom
859,HTT,Công ty cổ phần Thương mại Hà Tây,1.51,HSX
860,HTU,Công ty Cổ phần Môi trường và Công trình Đô thị Hà Tĩnh,9.9,Upcom
861,HTV,Công ty Cổ phần Vận tải Hà Tiên,14.5,HSX
862,HTW,Công ty Cổ phần Cấp nước Hà Tĩnh,10,Upcom
863,HU1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,8.4,HSX
864,HU3,Công ty cổ phần Đầu tư và Xây dựng HUD3,8.8,HSX
865,HU4,Công ty Cổ phần Đầu tư và Xây dựng HUD4,5.4,Upcom
866,HU6,Công ty cổ phần Đầu tư Phát triển nhà và Đô thị HUD 6,9.9,Upcom
867,HUB,Công ty cổ phần Xây lắp Thừa Thiên Huế,24.7,HSX
868,HUDA,Công ty TNHH Bia Huế,,OTC
869,HUDX,Tổng Công ty Đầu tư Phát triển nhà và Đô thị-Công ty TNHH,,OTC
870,HUG,Tổng Công ty may Hưng Yên - Công ty Cổ phần,36.5,Upcom
871,HUNGCA,Công ty TNHH Hùng Cá,,OTC
872,HUNGHAU,Công ty Cổ phần Phát triển Hùng Hậu,,OTC
873,HUT,Công ty Cổ phần Tasco,2.6,HNX
874,HUYNHDAITC,CTCP Ô tô Hyundai Thành Công Việt Nam,,OTC
875,HVA,Công ty cổ phần Đầu tư HVA,1.5,HNX
876,HVC,Công ty Cổ phần Hưng Vượng,14.1,Upcom
877,HVCAPITAL,Công ty Cổ phần Quản lý quỹ Hùng Việt,,OTC
878,HVG,Công ty Cổ phần Hùng Vương,3.4,HSX
879,HVH,Công ty Cổ phần Đầu tư và Công nghệ HVC,27.6,HSX
880,HVN,Tổng Công ty Hàng không Việt Nam - CTCP,42.1,HSX
881,HVS,CTCP Chứng khoán Hùng Vương,,OTC
882,HVT,Công ty Cổ phần Hóa chất Việt Trì,44,HNX
883,HVX,Công ty Cổ phần Xi măng Vicem Hải Vân,3.31,HSX
884,HWS,Công ty cổ phần Cấp nước Thừa Thiên Huế,8.7,Upcom
885,HYUNDAIVINASHIN,Công ty TNHH Nhà máy Tàu biển Hyundai-Vinashin,,OTC
886,I10,CTCP Đầu tư Xây dựng số 10 IDICO,0.8,Upcom
887,I40,Công ty Cổ phần Đầu tư và Xây dựng 40,3.3,Upcom
888,IBC,Công ty Cổ phần Đầu tư Apax Holdings,21.6,HSX
889,IBD,CTCP In Tổng hợp Bình Dương,12.5,Upcom
890,ICA,Công ty Cổ phần Công nghệ Sinh học - Dược phẩm ICA,,OTC
891,ICC,CTCP Xây dựng Công nghiệp,45,Upcom
892,ICF,Công ty Cổ phần Đầu tư Thương mại Thủy Sản,1.2,Upcom
893,ICG,Công ty Cổ phần Xây dựng Sông Hồng,8.5,HNX
894,ICI,Công ty Cổ phần Đầu tư và Xây dựng Công nghiệp,8.3,Upcom
895,ICN,Công ty cổ phần Đầu tư Xây dựng Dầu khí IDICO,83,Upcom
896,ICPX,Công ty CP Sản xuất hàng gia dụng Quốc tế,,OTC
897,IDC,Tổng công ty IDICO - Công ty Cổ phần,18.8,Upcom
898,IDGVV,IDG Ventures Vietnam,,OTC
899,IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,7.25,HSX
900,IDJ,Công ty Cổ phần Đầu tư Tài chính Quốc tế và Phát triển Doanh nghiệp IDJ,3.5,HNX
901,IDN,Công ty cổ phần In và Dịch vụ Đà Nẵng,9,Upcom
902,IDPX,Công ty CP Sữa Quốc tế,,OTC
903,IDV,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,30.2,HNX
904,IFC,CTCP Thực phẩm Công nghệ Sài Gòn,10.2,Upcom
905,IFCWB,International Finance Corporation (World Bank),,OTC
906,IFMC,Công ty Cổ phần Quản lý quỹ Quốc tế,,OTC
907,IFS,Công ty Cổ phần Thực phẩm Quốc tế,24.5,Upcom
908,IHK,Công ty Cổ phần In Hàng không,8.5,Upcom
909,IJC,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,11.1,HSX
910,IKH,Công ty Cổ phần In Khoa học Kỹ thuật,7.9,Upcom
911,ILA,Công ty Cổ phần ILA,1.9,Upcom
912,ILB,Công ty Cổ phần ICD Tân Cảng – Long Bình,18.2,HSX
913,ILC,Công ty Cổ phần Hợp tác Lao động với Nước ngoài,2.9,Upcom
914,ILS,Công ty Cổ phần Đầu tư Thương mại và Dịch vụ Quốc tế,18.2,Upcom
915,IME,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,30.7,Upcom
916,IMP,Công ty Cổ phần Dược phẩm IMEXPHARM,47.9,HSX
917,IMT,Công ty Cổ phần Xuất nhập khẩu Đầu tư Thành phố Hồ Chí Minh,2,Upcom
918,IN4,Công ty Cổ phần In số 4,130.5,Upcom
919,INC,Công ty Cổ phần Tư vấn Đầu tư IDICO,5.9,HNX
920,INN,Công ty Cổ phần Bao bì và In Nông nghiệp,39.3,HNX
921,INVESTCO,Công ty cổ phần Đầu tư & Phát triển Xây dựng,,OTC
922,IPA,Công ty cổ phần Tập đoàn Đầu tư I.P.A,15,Upcom
923,IPAF,Công ty TNHH MTV Quản lý quỹ Đầu tư chứng khoán I.P.A,,OTC
924,IPH,Công ty TNHH MTV In và Phát hành biểu mẫu Thống kê,185,Upcom
925,IPPGROUP,Công ty TNHH XNK Liên Thái Bình Dương,,OTC
926,IRC,Công ty Cổ phần Cao su Công nghiệp,10,Upcom
927,IRS,Công ty Cổ phần Chứng khoán Quốc tế Hoàng Gia,,OTC
928,ISC,Công ty Cổ phần Chứng khoán Công Nghiệp Việt Nam,,OTC
929,ISG,CTCP Vận tải biển & Hợp tác Quốc tế,1.2,Upcom
930,ISH,Công ty cổ phần Thủy điện Srok Phu Miêng IDICO,15.1,Upcom
931,IST,Công ty Cổ phần ICD Tân Cảng Sóng Thần,26.9,Upcom
932,ITA,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo,3.2,HSX
933,ITC,Công ty Cổ phần Đầu tư - Kinh doanh nhà,14.8,HSX
934,ITD,Công ty Cổ phần Công nghệ Tiên Phong,11.9,HSX
935,ITQ,Công ty cổ phần Tập đoàn Thiên Quang,2.7,HNX
936,ITS,"Công ty cổ phần Đầu tư, Thương mại và Dịch vụ - Vinacomin",2.3,Upcom
937,IVS,Công ty cổ phần Chứng khoán Đầu tư Việt Nam,11,HNX
938,JACCAR,Jaccar,,OTC
939,JAPFA,Công ty CP Japfa Comfeed Việt Nam,,OTC
940,JFVOF,JPMorgan Vietnam Opportunities Fund,,OTC
941,JOS,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Minh Hải,2.2,Upcom
942,JPA,Công ty CP Hàng không Jetstar Pacific Airlines,,OTC
943,JSC,Công ty Cổ phần Xây dựng Cầu đường Hà Nội,2.3,Upcom
944,JSI,Công ty cổ phần Chứng khoán Nhật Bản,,OTC
945,JVC,Công ty cổ phần Thiết bị Y tế Việt Nhật,2.89,HSX
946,KAC,Công ty Cổ phần Đầu tư Địa ốc Khang An,14.7,HSX
947,KAL,Công ty cổ phần Nhôm Khánh Hoà,,OTC
948,KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc-CTCP,14.85,HSX
949,KBE,Công ty Cổ phần Sách - Thiết bị Trường học Kiên Giang,17,Upcom
950,KBT,Công ty Cổ phần Gạch ngói Kiên Giang,6.1,HNX
951,KCB,CTCP Khoáng sản và luyện kim Cao Bằng,1.9,Upcom
952,KCE,Công ty Cổ phần Bê tông Ly tâm Điện lực Khánh Hòa,18,Upcom
953,KDC,Công ty Cổ phần Tập đoàn Kido,18.95,HSX
954,KDF,Công ty Cổ phần Thực phẩm Đông lạnh KIDO,26.6,Upcom
955,KDH,Công ty Cổ phần Đầu tư Kinh doanh nhà Khang Điền,21.95,HSX
956,KDM,Công ty Cổ phần Đầu tư HP Việt Nam,3,HNX
957,KGM,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,7.7,Upcom
958,KGU,Công ty Cổ phần Phát triển Đô thị Kiên Giang,15.9,Upcom
959,KHA,Công ty Cổ phần Đầu tư và Dịch vụ Khánh Hội,29.5,Upcom
960,KHATOCO,Tổng Công ty Khánh Việt,,OTC
961,KHB,Công ty Cổ phần Khoáng sản Hòa Bình,0.6,Upcom
962,KHD,"CTCP Khai thác, Chế biến khoáng sản Hải Dương",66.4,Upcom
963,KHL,Công ty cổ phần Khoáng sản và Vật liệu Xây dựng Hưng Long,0.3,Upcom
964,KHP,Công ty Cổ phần Điện lực Khánh Hòa,10,HSX
965,KHS,Công ty Cổ phần Kiên Hùng,11.6,HNX
966,KHV,Công ty TNHH Kim Hà Việt,,OTC
967,KHW,Công ty Cổ phần Cấp nước Khánh Hòa,22,Upcom
968,KIP,Công ty Cổ phần K.I.P Việt Nam,10.8,Upcom
969,KIS,Công ty Cổ phần Chứng khoán KIS Việt Nam,,OTC
970,KISIMEX,Công ty CP Thủy sản Kiên Giang,,OTC
971,KKC,Công ty Cổ phần Kim khí KKC,9,HNX
972,KLB,Ngân hàng TMCP Kiên Long,10.2,Upcom
973,KLF,Công ty Cổ phần Liên doanh Đầu tư Quốc tế KLF,1.4,HNX
974,KLS,Công ty Cổ phần Chứng khoán Kim Long,,HNX
975,KMF,Công ty Cổ phần Mirae Fiber,14.7,HNX
976,KMR,Công ty Cổ phần Mirae,2.9,HSX
977,KMT,Công ty cổ phần Kim khí miền Trung,8.2,HNX
978,KOS,Công ty Cổ phần Kosy,26.3,Upcom
979,KPF,Công ty Cổ phần Đầu tư tài chính Hoàng Minh,29,HSX
980,KSA,Công ty Cổ phần Công nghiệp Khoáng sản Bình Thuận,0.48,Upcom
981,KSB,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,21.7,HSX
982,KSC,Công ty Cổ phần Muối Khánh Hòa,0.7,Upcom
983,KSD,Công ty cổ phần Đầu tư DNA,6.4,HNX
984,KSE,Công ty Cổ phần Xuất khẩu Thủy sản Khánh Hòa,21.1,Upcom
985,KSH,Công ty Cổ phần Đầu tư và Phát triển KSH,0.68,HSX
986,KSK,Công ty cổ phần Khoáng sản Luyện kim màu,0.2,HNX
987,KSQ,Công ty cổ phần CNC Capital Việt Nam,2.1,HNX
988,KSS,Công ty Cổ phần Khoáng sản Na Rì Hamico,0.8,Upcom
989,KST,Công ty cổ phần KASATI,17,HNX
990,KSV,Tổng Công ty Khoáng sản TKV - CTCP,13,Upcom
991,KTB,Công ty Cổ phần Đầu tư Khoáng sản Tây Bắc,1.9,Upcom
992,KTC,Công ty Cổ phần Thương mại Kiên Giang,26.7,Upcom
993,KTL,CTCP Kim khí Thăng Long,20.6,Upcom
994,KTS,Công ty cổ phần Đường Kon Tum,19.9,HNX
995,KTT,Công ty cổ phần Đầu tư Thiết bị và Xây lắp điện Thiên Trường,4.5,HNX
996,KTU,Công ty Cổ phần Môi trường đô thị Kon Tum,10.5,Upcom
997,KVC,CTCP Sản xuất Xuất nhập khẩu Inox Kim Vĩ,1.3,HNX
998,KVS,Công ty Cổ phần Chứng khoán KENANGA Việt Nam,,OTC
999,L10,Công ty cổ phần Lilama 10,22,HSX
1000,L12,Công ty cổ phần Licogi 12,8.6,Upcom
1001,L14,Công ty cổ phần LICOGI 14,53.1,HNX
1002,L18,Công ty Cổ phần Đầu tư và Xây dựng số 18,9.4,HNX
1003,L35,Công ty Cổ phần Cơ khí Lắp máy Lilama,9.2,HNX
1004,L43,Công ty Cổ phần Lilama 45.3,3,HNX
1005,L44,Công ty Cổ phần Lilama 45.4,1.9,Upcom
1006,L45,CTCP Lilama 45.1,2.6,Upcom
1007,L61,Công ty Cổ phần Lilama 69-1,26.5,HNX
1008,L62,Công ty Cổ phần Lilama 69-2,7.2,HNX
1009,L63,CTCP Lilama 69-3,8,Upcom
1010,LAF,Công ty Cổ phần Chế biến Hàng xuất khẩu Long An,6.36,HSX
1011,LAI,CTCP Đầu tư xây dựng Long An IDICO,15,Upcom
1012,LAS,Công ty cổ phần Supe Phốt phát và Hóa chất Lâm Thao,7.8,HNX
1013,LAVIE,Công ty TNHH LA VIE,,OTC
1014,LAW,Công ty cổ phần Cấp thoát nước Long An,11.7,Upcom
1015,LBC,Công ty Cổ phần Thương mại - Đầu tư Long Biên,11.2,Upcom
1016,LBE,Công ty Cổ phần Sách và Thiết bị trường học Long An,27.4,HNX
1017,LBM,Công ty Cổ phần Khoáng sản và Vật liệu xây dựng Lâm Đồng,29,HSX
1018,LCC,Công ty Cổ phần Xi măng Hồng Phong,3.1,Upcom
1019,LCD,Công ty Cổ phần Lắp máy - Thí nghiệm Cơ điện,7.5,HNX
1020,LCG,Công ty cổ phần LICOGI 16,10.7,HSX
1021,LCM,Công ty Cổ phần Khai thác và Chế biến Khoáng sản Lào Cai,0.64,HSX
1022,LCS,Công ty Cổ phần Licogi 166,2.4,HNX
1023,LCW,Công ty Cổ phần Nước sạch Lai Châu,10,Upcom
1024,LDG,Công ty Cổ phần Đầu tư LDG,8.19,HSX
1025,LDP,Công ty Cổ phần Dược Lâm Đồng - Ladophar,24.2,HNX
1026,LDW,Công ty TNHH MTV Cấp thoát nước Lâm Đồng,11.1,Upcom
1027,LEC,Công ty Cổ phần Bất động sản Điện lực Miền Trung,18,HSX
1028,LG9,Công ty Cổ phần Cơ giới và Xây lắp số 9,7.2,Upcom
1029,LGC,Công ty Cổ phần Đầu tư Cầu đường CII,33.1,HSX
1030,LGL,Công ty cổ phần Đầu tư và Phát triển Đô thị Long Giang,10.15,HSX
1031,LHC,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng,62.8,HNX
1032,LHG,Công ty Cổ phần Long Hậu,19.8,HSX
1033,LIC,Tổng Công ty Licogi - Công ty Cổ phần,5.3,Upcom
1034,LIG,Công ty Cổ phần Licogi 13,4.8,HNX
1035,LIONGVF,LionGlobal Vietnam Fund,,OTC
1036,LIX,Công ty Cổ phần Bột giặt Lix,41.6,HSX
1037,LKW,CTCP Cấp nước Long Khánh,21.5,Upcom
1038,LLM,Tổng Công ty Lắp máy Việt Nam - CTCP,20.9,Upcom
1039,LM3,Công ty Cổ phần Lilama 3,0.8,Upcom
1040,LM7,Công ty Cổ phần Lilama 7,5.8,HNX
1041,LM8,Công ty Cổ phần Lilama 18,23,HSX
1042,LMC,Công ty Cổ phần Khoáng sản Latca,9.7,Upcom
1043,LMH,Công ty Cổ phần Landmark Holding,15.95,HSX
1044,LMI,Công ty Cổ phần Đầu tư Xây dựng Lắp máy IDICO,9.7,Upcom
1045,LNC,Công ty cổ phần Lệ Ninh,10,Upcom
1046,LNS,Công ty cổ phần Mía đường La Ngà,,OTC
1047,LO5,Công ty Cổ phần Lilama 5,2.3,HNX
1048,LONGHAIGROUP,Công ty CP Tập đoàn đầu tư Long Hải,,OTC
1049,LONGTHANHPLASTIC,Công ty TNHH Nhựa Long Thành,,OTC
1050,LPB,Ngân hàng TMCP Bưu điện Liên Việt,7.9,Upcom
1051,LQN,Công ty cổ phần Licogi Quảng Ngãi,9,Upcom
1052,LSS,Công ty Cổ phần Mía đường Lam Sơn,5.17,HSX
1053,LTC,Công ty cổ phần Điện nhẹ Viễn thông,2.8,Upcom
1054,LTG,Công ty Cổ phần Tập đoàn Lộc Trời,22.8,Upcom
1055,LUCKYTEL,Công ty CP XNK thiết bị viễn thông May Mắn,,OTC
1056,LUNGLO,Tổng Công ty Xây dựng Lũng Lô,,OTC
1057,LUT,Công ty Cổ phần Đầu tư Xây dựng Lương Tài,2.6,HNX
1058,LVS,Công ty cổ phần Chứng khoán Liên Việt,,OTC
1059,LWS,Công ty Cổ phần Cấp nước tỉnh Lào Cai,9.4,Upcom
1060,M10,Tổng Công ty May 10 - CTCP,18.3,Upcom
1061,MAC,Công ty Cổ phần Cung ứng và Dịch vụ Kỹ thuật Hàng Hải,6,HNX
1062,MAFPF1,Quỹ đầu tư tăng trưởng Manulife,2.01,HSX
1063,MANULIFE,Công ty TNHH Manulife (Việt Nam),,OTC
1064,MAS,Công ty cổ phần Dịch vụ Hàng không Sân bay Đà Nẵng,44.6,HNX
1065,MAX,Công ty Cổ phần Khai khoáng và Cơ khí Hữu nghị Vĩnh Sinh,,HNX
1066,MBB,Ngân hàng Thương mại Cổ phần Quân đội,21.75,HSX
1067,MBG,Công ty cổ phần Đầu tư Phát triển Xây dựng và Thương mại Việt Nam,7.2,HNX
